Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
15;2017;1378;Newton, Cam;QB;car;h;gnb;31.48;0
15;2017;1225;Manning, Eli;QB;nyg;h;phi;28.36;0
15;2017;1465;Winston, Jameis;QB;tam;h;atl;25.76;0
15;2017;1413;Foles, Nick;QB;phi;a;nyg;25.48;0
15;2017;1414;Osweiler, Brock;QB;mia;a;buf;25.46;0
15;2017;1442;Bortles, Blake;QB;jac;h;hou;25.04;0
15;2017;1252;Rodgers, Aaron;QB;gnb;a;car;24.9;0
15;2017;1400;Taylor, Tyrod;QB;cle;h;bal;23.16;0
15;2017;1302;Flacco, Joe;QB;bal;a;cle;21.82;0
15;2017;1435;Keenum, Case;QB;den;a;ind;19.44;0
15;2017;1232;Roethlisberger, Ben;QB;pit;h;nwe;19.24;0
15;2017;1452;Garoppolo, Jimmy;QB;sfo;h;ten;19.14;0
15;2017;1254;Smith, Alex;QB;was;h;ari;18.54;0
15;2017;1151;Brees, Drew;QB;nor;h;nyj;18.14;0
15;2017;1466;Mariota, Marcus;QB;ten;a;sfo;18.04;0
15;2017;1441;Carr, Derek;QB;oak;h;dal;17.54;0
15;2017;1340;Stafford, Matthew;QB;det;h;chi;17.38;0
15;2017;1131;Brady, Tom;QB;nwe;a;pit;16.72;0
15;2017;1415;Cousins, Kirk;QB;min;h;cin;15.84;0
15;2017;1501;Prescott, Dak;QB;dal;a;oak;15.68;0
15;2017;1301;Ryan, Matt;QB;atl;a;tam;15.38;0
15;2017;1496;Brissett, Jacoby;QB;ind;h;den;14.12;0
15;2017;1519;Trubisky, Mitchell;QB;chi;a;det;13.86;0
15;2017;1490;Goff, Jared;QB;lar;a;sea;11.8;0
15;2017;1412;Wilson, Russell;QB;sea;h;lar;11.58;0
15;2017;1472;Petty, Bryce;QB;mia;a;buf;10.76;0
15;2017;1231;Rivers, Philip;QB;lac;a;kan;10.08;0
15;2017;1263;Cutler, Jay;QB;mia;a;buf;8.76;
15;2017;1399;Yates, T.J.;QB;hou;a;jac;8.12;
15;2017;1381;Gabbert, Blaine;QB;ten;a;sfo;7.36;0
15;2017;1517;Kizer, DeShone;QB;gnb;a;car;5.34;0
15;2017;1403;Dalton, Andy;QB;cin;a;min;2.52;0
15;2017;1488;Siemian, Trevor;QB;min;h;cin;1.68;0
15;2017;1467;McCarron, A.J.;QB;buf;h;mia;0.76;0
15;2017;1484;Mannion, Sean;QB;lar;a;sea;0.46;0
15;2017;1309;Henne, Chad;QB;kan;h;lac;-0.2;0
15;2017;1439;Bridgewater, Teddy;QB;nor;h;nyj;-1.3;0
